syllabs per word,words count,letters in syllab
0,1770,5.110734463276836
1,3096,4.106266149870801
2,16285,2.970432913724286
3,24520,2.66557911908646
4,17887,2.514745345781853
5,8176,2.4073385518591
6,2971,2.313699091215079
7,714,2.216286514605842
8,161,2.152173913043478
9,25,2.1822222222222223
10,2,2.2
11,1,1.7272727272727273
12,0,0.0
13,1,2.3076923076923075
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,1,2.45
