syllabs per word,words count,letters in syllab
0,153452,1.1997302087949326
1,43820,3.9338429940666364
2,145047,2.7988755368949376
3,126162,2.5553785344768367
4,63963,2.4545049481731627
5,21406,2.3774829487059703
6,5632,2.293560606060606
7,1172,2.2016089712335445
8,267,2.125
9,31,2.186379928315412
10,2,2.2
11,1,1.7272727272727273
12,0,0.0
13,1,2.3076923076923075
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,1,2.45
